118,106
85,101
122,106
115,103
106,107
95,110
119,113
115,124
88,125
95,122
113,121
92,131
97,122
88,122
97,124
83,122
59,125
74,116
65,113
65,115
65,109
64,109
64,110
59,101
67,100
74,107
70,100
76,92
71,95
91,97
79,98
110,98
116,92
116,101
110,101
119,109
119,110
107,100
95,101
118,124
115,124
80,131
98,133
104,127
89,127
103,128
92,119
94,124
85,122
64,119
59,124
77,115
64,110
62,116
61,112
67,107
64,110
71,103
61,95
58,92
79,101
82,98
68,89
83,94
89,101
113,98
124,97
98,104
133,103
109,106
118,110
104,100
77,128
122,116
100,125
82,115
100,127
98,113
97,130
94,127
100,119
91,122
85,122
64,125
68,122
65,116
64,118
62,110
65,109
62,109
70,104
59,98
65,95
80,106
73,98
74,95
118,98
118,104
109,103
119,109
112,110
110,101
98,110
110,121
89,115
98,112
92,121
85,131
97,125
106,116
89,124
61,119
68,116
65,116
62,115
62,113
62,112
58,100
58,95
58,94
74,95
80,97
68,86
91,91
80,97
86,94
86,94
86,92
91,98
119,97
113,106
107,104
121,109
118,116
110,100
83,110
118,124
116,127
77,119
100,124
100,124
94,133
104,127
91,121
95,124
85,122
65,100
61,97
61,100
79,98
76,98
73,97
88,92
76,95
82,98
86,97
86,91
85,98
92,103
110,97
119,95
107,95
94,110
119,119
106,110
103,103
103,107
122,119
107,119
97,113
98,115
91,119
82,133
101,124
104,116
58,100
64,100
71,100
77,95
52,86
74,85
73,91
80,92
85,91
89,97
101,101
109,100
116,95
97,91
98,106
115,98
113,106
116,106
121,103
119,113
92,122
106,115
115,110
94,118
89,133
91,3
67,116
67,118
62,115
68,112
61,115
59,109
68,100
58,101
67,100
73,104
71,104
79,94
74,91
65,94
89,95
85,94
88,94
103,100
104,95
119,95
98,95
115,103
112,106
124,110
116,113
85,121
119,119
127,116
103,116
95,127
97,119
89,125
62,127
68,122
64,121
68,110
65,115
61,115
64,106
70,101
70,104
56,100
65,98
71,101
77,95
52,85
83,82
70,28
80,88
86,89
89,95
100,101
107,97
113,97
115,92
95,94
106,98
109,100
118,103
97,116
109,122
110,119
101,113
116,124
97,125
95,127
94,121
85,122
62,112
61,104
64,106
68,103
55,101
55,97
73,98
82,97
68,88
83,89
77,97
85,91
85,91
91,94
103,100
110,100
115,95
119,91
116,94
91,100
104,103
116,109
118,109
139,116
95,125
118,124
133,116
119,121
98,125
91,127
95,122
92,122
73,118
65,112
64,116
62,110
67,107
65,110
62,98
61,92
62,101
76,103
77,95
62,92
88,91
88,94
80,95
86,89
89,92
95,103
101,103
115,97
121,101
122,106
92,127
115,116
115,112
113,104
103,115
118,122
115,122
89,125
103,119
112,130
88,128
97,119
65,110
62,113
59,100
70,94
58,97
82,101
76,98
74,94
92,97
76,98
86,100
88,94
88,92
91,95
101,104
107,97
116,94
104,103
116,107
116,112
116,113
104,103
85,109
113,115
131,119
80,115
101,113
98,118
88,127
100,127
97,119
64,127
77,118
61,115
62,116
61,115
61,110
61,109
56,100
50,92
65,95
74,97
76,97
70,86
88,89
88,98
86,97
95,98
101,95
94,106
125,107
112,115
112,104
107,101
119,106
91,122
107,113
113,109
82,121
89,130
92,125
101,122
91,125
76,118
68,121
65,113
70,113
61,116
61,109
67,100
77,100
59,97
70,100
71,100
76,92
88,95
82,97
86,100
85,97
91,94
91,98
103,103
107,100
116,95
100,97
100,115
109,112
116,104
119,101
104,113
97,136
113,118
134,115
109,119
100,124
92,127
91,125
95,124
61,106
67,103
70,109
59,104
74,104
73,106
70,95
79,94
67,88
83,89
80,92
91,88
83,94
95,98
109,98
119,95
122,89
100,100
98,95
113,101
118,106
122,101
118,112
86,122
119,116
124,118
103,121
94,125
94,131
61,112
62,104
65,106
70,101
53,100
65,98
86,107
77,100
61,89
82,91
71,94
86,92
86,89
89,94
100,98
106,98
115,95
118,97
118,101
101,121
107,110
112,109
118,103
